DN;OM;SIGLA OM;UF;TIPO DE EMBARCAÇÃO;TOTAL DE EMBARCAÇÕES POR TIPO
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Balsa;11
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Barcaça;4
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Bote;2086
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Canoa;312
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Chata;4
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Draga;24
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Escuna;75
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Flutuante;23
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Hovercraft;1
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Iate;1
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Jangada;1
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Jet Boat;4
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Lancha;1075
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Moto-Aquática/similar;205
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Multicasco (Catamarã, Trimarã, Tetramarã, etc);17
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Outros;480
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Passageiro;4
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Pesqueiro;14
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Saveiro;34
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Traineira;109
1º ;Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Veleiro;170
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Apoio a Mergulho;1
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Balsa;4
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Bote;509
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Caiaque;4
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Canoa;1587
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Chata;2
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Draga;24
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Escuna;1
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Jangada;1
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Jet Boat;1
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Lancha;174
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Moto-Aquática/similar;110
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Multicasco (Catamarã, Trimarã, Tetramarã, etc);1
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Passageiro;5
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Pesqueiro;239
1º ;Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Traineira;115
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Balsa;59
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Barcaça;1
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Bote;627
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Caiaque;3
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Caique;1
1º ;Capitania dos Portos de Macaé;CPMCAE;RJ;Canoa;860
